gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,symbol
ENSG00000120868,829.5603758701786,-0.8184694107025547,0.16999033052392218,-4.814799807612435,1.4734753099427676e-6,7.41830800545838e-6,APAF1
ENSG00000002330,1923.5785044612937,-1.2310052674048917,0.26378972751836566,-4.666615637332527,3.062013497078588e-6,1.4596061610846886e-5,BAD
ENSG00000110330,2648.3905893653427,-1.6392938077822528,0.3582766315571006,-4.575497432410657,4.7508979366741635e-6,2.1775641023558545e-5,BIRC2
ENSG00000175197,458.2273702419665,-0.8589255287613683,0.1889751576307503,-4.545176940345109,5.488912486302095e-6,2.4859522886568805e-5,DDIT3
ENSG00000198382,663.594904226971,-0.766175275163488,0.17225723082643035,-4.447855520999875,8.673183279152642e-6,3.7961466213887216e-5,UVRAG
ENSG00000136807,1871.6944626914074,-0.49165132266834755,0.12228611310553586,-4.020500040295177,5.807473938205456e-5,2.1361970954037395e-4,CDK9
ENSG00000100219,2780.891199844025,0.5207736199259053,0.130023708225088,4.00522048659294,6.195966045014249e-5,2.2671701295905243e-4,XBP1
ENSG00000115317,1312.8606919097688,0.3445370829522611,0.08801968515570556,3.914318511169177,9.0659897800228e-5,3.203876489405193e-4,HTRA2
ENSG00000172071,775.416614324054,-0.5779009169914299,0.15373125163834495,-3.759163545685235,1.7048237305679106e-4,5.7147151869796e-4,EIF2AK3
ENSG00000115760,2905.9913516588203,0.5102901687709329,0.14437813194195206,3.534400687329142,4.087009918345535e-4,0.001266562441302885,BIRC6
ENSG00000124486,10000.337779328074,0.7272914490612185,0.21013365072554221,3.4610898661402,5.379931875081051e-4,0.0016316960613177677,USP9X
ENSG00000103197,4523.386328820488,0.5205116289130188,0.1540961521975866,3.3778366395911275,7.30584681736689e-4,0.002138331442191643,TSC2
ENSG00000087074,3450.264009114255,0.6249643053440888,0.18581564585738317,3.363356742433627,7.700078904301796e-4,0.002242764268002026,PPP1R15A
ENSG00000104765,3853.1676524440604,-1.137919575882842,0.3546098713755269,-3.2089337261505646,0.0013322819753860528,0.003656062037386768,BNIP3L
ENSG00000044574,22800.901335113875,-0.4853314473348443,0.15778625302987975,-3.0758791594026746,0.0020988288742420915,0.005498480740488836,HSPA5
ENSG00000126775,531.9953852767823,0.6391380822104455,0.21580419772677933,2.9616573215115656,0.0030598812798271605,0.007671282567905196,ATG14
ENSG00000183735,800.0633427539813,-0.4333972634787626,0.15749761527682132,-2.7517703218363905,0.005927407669155095,0.013865876472547287,TBK1
ENSG00000109670,549.3870168754535,0.7273446958212014,0.2978253891208537,2.4421849929189694,0.014598663739838902,0.03057948399873975,FBXW7
ENSG00000153094,266.82263264726083,0.724860378339381,0.3013488181545216,2.4053864978746886,0.016155369557750456,0.0334098522090572,BCL2L11
ENSG00000184047,1132.9507245526609,0.23053864623886966,0.10027471331226014,2.2990706093665065,0.021500930119288483,0.04287919637938163,DIABLO
ENSG00000087088,1939.8011207199502,0.2830338338074316,0.12543108109453058,2.2564888330518684,0.02404003387755561,0.04733530515845394,BAX
